Leaf,Date
565,1945.3044810078497
448,1945.408578504586
1499,1944.6631696155048
2266,1945.5991821403572
1162,1944.6340713797397
72,1941.6754401432531
3061,1945.3930076840202
392,1942.7420104875675
2108,1944.90474353497
3227,1945.8690150843186
1805,1944.9421877268617
1900,1945.0405688938708
2804,1945.8317980961426
2597,1945.6026739967922
211,1943.1087172416146
524,1943.3260996176157
1899,1945.2443579810335
1473,1945.2582608314037
2893,1945.1415880997165
2242,1945.7160281236213
168,1941.9001921001934
44,1942.0263048979289
893,1943.7475683468026
1319,1944.8437312854562
1117,1943.9857282788778
1281,1944.8163402064922
1769,1944.9751394563536
3559,1945.4062559767954
4153,1945.4648875859696
1881,1945.8095073413288
5386,1945.8355300348553
247,1942.1294353826302
1684,1945.3197155981147
287,1942.171212130417
1482,1944.5541135331512
3459,1945.8579893799208
3194,1945.5003198359564
1167,1945.726912113372
1419,1945.3836140165265
1386,1945.4099041520828
2502,1945.6274426181456
1992,1945.915969260917
293,1943.1872711872945
100,1944.001230506981
1494,1945.5116446139493
4182,1945.7804970161174
1014,1944.4036212416208
1198,1944.7131328889177
1844,1944.7474922886408
3958,1945.8480948327128
5056,1945.8543201312561
4854,1945.8909713347564
3,1937.481914973021
2,1937.1866027015471
439,1943.1445893444113
1581,1944.3343651827856
826,1945.8303406685386
1794,1944.945709350793
1693,1945.9475273991961
1796,1944.701104799377
2909,1945.313617585375
3326,1945.6106543101823
1607,1945.490979871367
305,1943.3244883181096
2118,1945.7193274984436
1709,1945.4632437013272
3487,1945.3596326267354
3791,1945.512185293122
2984,1945.5919933677797
589,1944.6012776681146
4808,1945.6576726515787
520,1945.104624517234
2214,1945.2428638421743
2417,1945.6596451554126
4109,1945.8572398861334
655,1943.9283263138832
150,1941.814338595075
3560,1945.5904245487886
492,1942.9087399621883
4933,1945.7736160141765
1257,1945.0044920419748
1312,1945.055770166634
2161,1945.7765451365974
5746,1945.8577100391747
1111,1945.7631630294707
4277,1945.5222205069383
1513,1945.2813321029241
5014,1945.8135574896064
372,1943.5407724541872
1812,1945.397791947371
2794,1945.2767563111695
101,1942.9121108535307
2082,1945.6573181169495
1654,1944.7888874918194
155,1945.254860185297
2782,1945.3608048060341
2661,1944.978098577021
324,1945.0684045514824
1001,1945.815558341421
1064,1943.9679074837582
2873,1945.7210820955336
2427,1944.8311903377262
2785,1945.4791694785752
2888,1945.5346955493262
3911,1945.6465711536298
3670,1945.3982333417682
1514,1944.7144123155
576,1943.1816380264702
22,1942.0593127827174
376,1943.380973475327
535,1943.6555746638637
2206,1945.6680183598721
1194,1944.9582807057322
1316,1944.423363471978
1506,1944.7722429152877
3089,1945.5399221249131
113,1943.5036715225638
4924,1945.8567590671682
3985,1945.924248423974
235,1942.880476970161
262,1944.5155902214142
1456,1945.1509022851405
2935,1945.704201729142
2628,1945.4004082933907
1574,1945.573358692957
2764,1945.2906092941487
1242,1944.4757621975061
1433,1944.6045857027216
2930,1945.5534655758415
2064,1945.7052020856158
2065,1945.7321513966106
556,1943.3644670468705
3309,1945.9036583043746
555,1945.2861634701487
2245,1945.3322075102892
713,1943.9620842928775
1561,1944.3747030863856
2252,1945.5146971793247
1862,1945.8450467349523
1959,1945.926768034758
2017,1944.7305086533877
736,1945.6480300132368
106,1942.7207036025698
1261,1944.1757108151635
4348,1945.7143068477167
1453,1944.2345455925242
1516,1944.8694020865448
3357,1945.872056089556
474,1942.7960742841583
4003,1945.6937893472166
546,1943.669278471652
1687,1944.6090666783327
3099,1945.8955231066564
78,1944.4780616213077
619,1944.2182345667497
1944,1944.7287361128224
1481,1945.0493971417818
2116,1945.3950573704726
695,1943.5081147384626
987,1945.562605261238
391,1945.6331883736143
335,1943.839251031804
3059,1945.2411949052964
4668,1945.7735399853095
540,1943.592860953586
845,1945.2305083521862
2096,1945.6078341860643
2248,1945.8617665618895
223,1944.0295207000872
2845,1945.064064494095
4390,1945.643765691387
505,1943.4839472657718
19,1945.6693608754404
2262,1944.8267969377325
3773,1945.634828987093
3845,1945.954275931008
2565,1945.4508438578134
3144,1945.2368887167213
2459,1945.4400317839575
855,1943.9421160422407
1173,1944.5250105384066
676,1943.785480235015
768,1945.1399528425861
1367,1945.041892818459
2733,1945.4128763132694
2647,1945.4651337069943
1085,1944.7170158851209
73,1942.3491384093338
283,1943.4425655036187
212,1945.3227198577206
939,1944.8982422465524
1442,1945.327207562084
2931,1945.8053342983712
4060,1945.8757873989111
1984,1945.2990123463976
663,1943.9063874091191
184,1942.6197966976474
1940,1944.782139199433
2273,1944.887632756925
3336,1945.4753582442943
3788,1945.676904690345
3133,1945.7976011671294
530,1943.9367310715973
1447,1944.832228680053
2421,1945.238374689325
1294,1945.0758418813825
1800,1945.1310443013754
2734,1945.2563633146854
3749,1945.5045734886023
3920,1945.9434863410518
510,1943.87150042621
1748,1944.715152348014
3224,1945.8961642846632
1455,1944.4549713073077
1328,1945.2688962539694
1976,1945.433176326082
161,1944.9189905321457
2809,1945.5266740603017
164,1943.569185103714
563,1943.896253309285
974,1944.1243811606246
1082,1944.558764162998
1845,1945.8978169715256
809,1945.6381954685535
727,1944.5696726766068
2184,1944.800556948187
257,1942.5905908844702
3042,1945.1408971953306
